price,amount
0.095347,4206.0
0.095353,2541.0
0.095360,14006.0
0.095367,8882.0
0.095380,2554.0
0.095526,377.0
0.095532,1000.0
0.095572,377.0
0.095579,15000.0
0.095585,1000.0
0.095618,360.0
0.095711,13786.0
0.095764,510.0
0.095784,770.0
0.095930,101922.0
0.095937,18647.0
0.096632,322.0
0.096877,50.0
0.096930,854.0
0.097494,152070.0
0.097958,50.0
0.099144,269.0
0.099190,60.0
0.099395,864.0
0.099733,402.0
0.099747,268.0
0.100058,5000.0
0.100310,8746.0
0.100389,100.0
0.100621,19960.0
0.100721,646.0
0.100906,8746.0
0.101337,1086.0
0.101383,1196.0
0.101549,39186.0
0.102106,688.0
0.102132,816.0
0.102212,100.0
0.102245,100.0
0.102377,768.0
0.102709,6927.0
0.103345,166.0
0.103371,107880.0
0.103769,37160.0
0.103809,3536.0
0.104034,5802.0
0.104312,2376.0
0.104432,816.0
0.104498,29372.0
0.104564,332.0
0.104657,400.0
0.104697,15047.0
0.105293,21188.0
0.105353,3439.0
0.105392,1403.0
0.120000,17152.0
0.138000,20003.0
0.170008,9049.0
0.230000,94396.0
0.360000,505.0
0.540000,879.0
5.000000,10.0
