price,amount
0.094410,174.0
0.094403,3019.0
0.094377,3031.0
0.094344,50.0
0.094337,8382.0
0.094318,4440.0
0.094285,2793.0
0.094278,500.0
0.094258,162.0
0.094252,2498.0
0.094245,2379.0
0.094239,7377.0
0.094193,4996.0
0.094179,30000.0
0.094173,9513.0
0.094166,14998.0
0.094120,14989.0
0.094002,1020.0
0.093989,22483.0
0.093923,1520.0
0.093884,260.0
0.093838,80.0
0.093811,1072.0
0.093792,1056.0
0.093706,13662.0
0.093700,101.0
0.093680,13665.0
0.093673,3332.0
0.093621,304.0
0.093575,1666.0
0.093443,203844.0
0.093404,180.0
0.093345,25428.0
0.093272,1015.0
0.093233,1014.0
0.093226,50.0
0.093213,3198.0
0.093207,388.0
0.093147,150.0
0.093141,150.0
0.093134,150.0
0.093049,4517.0
0.093042,4517.0
0.093016,10028.0
0.092963,10447.0
0.092957,9031.0
0.092950,18071.0
0.092871,13550.0
0.092858,27100.0
0.092766,36133.0
0.092760,8554.0
0.092687,1404.0
0.092681,22578.0
0.092674,22578.0
0.092608,115.0
0.092589,27093.0
0.092582,27093.0
0.092576,383.0
0.092497,31618.0
0.092490,31609.0
0.092405,36128.0
0.092398,72250.0
0.092313,81280.0
0.000002,573837.0
