price,amount
0.00000359,55043.0
0.00000360,31981.0
0.00000361,98444.0
0.00000362,30586.0
0.00000363,1989.0
0.00000364,117028.0
0.00000365,314.0
0.00000366,1214.0
0.00000367,59731.0
0.00000368,35000.0
0.00000370,558.0
0.00000371,1627.0
0.00000372,333.0
0.00000373,264.0
0.00000374,100.0
0.00000375,124.0
0.00000376,100.0
0.00000377,37881.0
0.00000379,142.0
0.00000380,6378.0
0.00000381,4616.0
0.00000382,1000.0
0.00000383,9851.0
0.00000384,100.0
0.00000386,100.0
0.00000387,11320.0
0.00000390,650.0
0.00000395,100.0
0.00000396,120.0
0.00000400,248.0
0.00000401,724.0
0.00000409,100.0
0.00000421,100.0
0.00000429,122.0
0.00000431,1162.0
0.00000434,223.0
0.00000435,100.0
0.00000440,50.0
0.00000443,800.0
0.00000444,120.0
0.00000448,100.0
0.00000449,100.0
0.00000450,1000.0
0.00000454,100.0
0.00000459,100.0
0.00000461,2514.0
0.00000476,180.0
0.00000477,100.0
0.00000480,100.0
0.00000481,158.0
0.00000483,100.0
0.00000484,100.0
0.00000486,100.0
0.00000491,100.0
0.00000496,100.0
0.00000497,100.0
0.00000498,1848.0
0.00000502,100.0
0.00000512,100.0
0.00000523,10.0
0.00000532,50.0
0.00000795,1178.0
0.00000800,1.0
0.00000860,1.0
0.00000900,36.0
0.00000950,22.0
0.00000999,524.0
0.00001000,31.0
0.00001050,17.0
0.00001155,10.0
0.00001180,10.0
0.00001200,20.0
0.00001290,10.0
0.00001300,10.0
