price,amount
0.00000356,8383.0
0.00000355,117656.0
0.00000354,52426.0
0.00000353,41999.0
0.00000352,84078.0
0.00000351,24386.0
0.00000350,38732.0
0.00000349,43376.0
0.00000348,102740.0
0.00000347,41398.0
0.00000346,4457.0
0.00000344,1140.0
0.00000340,50.0
0.00000338,1176.0
0.00000337,100.0
0.00000334,100.0
0.00000333,100.0
0.00000327,298.0
0.00000323,840.0
0.00000321,246.0
0.00000317,436.0
0.00000316,100.0
0.00000304,100.0
0.00000303,1681.0
0.00000302,3520.0
0.00000301,120.0
0.00000297,100.0
0.00000282,100.0
0.00000271,580.0
0.00000266,100.0
0.00000259,192.0
0.00000258,596.0
0.00000257,100.0
0.00000249,2933.0
0.00000239,50.0
0.00000223,100.0
0.00000218,100.0
0.00000215,100.0
0.00000202,252.0
0.00000200,290.0
0.00000199,340.0
0.00000195,100.0
0.00000194,60.0
0.00000179,294.0
0.00000171,100.0
0.00000147,50.0
0.00000144,100.0
0.00000134,100.0
0.00000128,100.0
0.00000113,200.0
0.00000100,313.0
