price,amount
0.00012744,5012.14
0.00012745,15022.57
0.00012746,5600.79
0.00012747,340.0
0.00012748,279.64
0.00012751,230.15
0.00012752,2029.25
0.00012753,90.87
0.00012762,150.53
0.00012763,528.46
0.00012767,272.63
0.00012776,5347.14
0.00012827,50.0
0.00012828,85.23
0.00012831,50.0
0.00012834,3270.0
0.00012835,2800.76
0.00012837,1740.0
0.00012852,1436.14
0.00012853,160000.0
0.00012856,91.36
0.00012857,192.28
0.00012859,100.0
0.00012869,50.0
0.00012891,1183.61
0.00012892,1183.99
0.00012899,50.0
0.00012922,50.0
0.00012923,20834.9
0.00012924,50.0
0.00012936,80.0
0.00012941,100.0
0.00012942,73.01
0.00012944,84.69
0.00012946,119.39
0.00012961,58.49
0.00012977,100.0
0.00012978,68.57
0.00012996,50.0
0.00013016,87.95
0.00013039,50.0
0.00013040,76.58
0.00013051,4000.0
0.00013052,50.0
0.00013054,119362.46
0.00013057,50.0
0.00013064,50.0
0.00013068,50.0
0.00013081,50.0
0.00013087,50.0
0.00013097,100.0
0.00013107,558.07
0.00013113,50.42
0.00013124,800.0
0.00013125,465.92
0.00013136,50.0
0.00013139,50.0
0.00013154,107.31
0.00013163,50.0
0.00013167,50.0
0.00013200,241128.9
0.00013211,1247.6
0.00013240,798.4
0.00013273,2392.22
0.00013297,232.72
0.00013309,50.0
0.00013325,50.0
0.00013335,100.0
0.00013344,50.0
0.00013347,50.0
0.00013348,50.0
0.00013355,50.0
0.00013363,50.0
0.00013367,50.0
0.00013375,50.0
0.00013383,10000.0
0.00013408,50.0
0.00013454,100.0
0.00013554,20000.0
0.00013573,100.0
0.00013664,50.0
0.00013692,50.0
0.00013949,100.0
0.00014000,1140.0
0.00014022,599.94
0.00014055,7496.32
0.00014067,100.0
0.00014094,100.0
0.00014097,50.0
0.00014106,1494.57
0.00014168,50.0
0.00014176,100.0
0.00014195,100.0
0.00014197,100.0
0.00014256,50.0
0.00014274,100.0
0.00014276,100.0
0.00014278,50.0
0.00014287,100.0
0.00014300,50.0
0.00014302,100.0
0.00014309,100.0
0.00018000,10.0
