price,amount
0.00012617,137.97
0.00012611,2800.19
0.00012609,400.0
0.00012606,790.0
0.00012605,14098.62
0.00012604,1045.77
0.00012603,3142.75
0.00012602,301.0
0.00012598,194.1
0.00012591,50.0
0.00012584,232.18
0.00012547,80.0
0.00012546,1760.0
0.00012544,4671.4
0.00012527,14081.12
0.00012526,2623.85
0.00012525,5248.2
0.00012520,100.0
0.00012513,199.99
0.00012512,21028.46
0.00012500,50.0
0.00012499,224.47
0.00012498,1183.89
0.00012496,232.92
0.00012495,1074.92
0.00012489,301.76
0.00012480,1600.0
0.00012476,950.0
0.00012475,1183.99
0.00012471,80000.0
0.00012465,1740.0
0.00012464,320.0
0.00012461,1073.84
0.00012450,761.54
0.00012441,378.73
0.00012440,950.0
0.00012439,1050.86
0.00012437,3337.59
0.00012436,336.97
0.00012430,151.73
0.00012424,751.1
0.00012423,1564.05
0.00012420,3200.0
0.00012419,726.71
0.00012415,3343.48
0.00012414,868.54
0.00012408,609.09
0.00012405,2045.9
0.00012402,100.0
0.00012400,563.2
0.00012365,21028.46
0.00012354,2106.34
0.00012352,556.92
0.00012351,50.0
0.00012309,14082.36
0.00012305,160000.0
0.00012304,986.53
0.00012284,103.49
0.00012283,100.0
0.00012276,11195.68
0.00012246,2145.6
0.00012230,1097.13
0.00012222,556.98
0.00012166,100.0
0.00012154,408.96
0.00012115,10514.24
0.00012109,600.0
0.00012047,100.0
0.00012035,50.0
0.00012031,4195.86
0.00012028,1572.54
0.00012016,50.0
0.00011983,5000.0
0.00011965,50.0
0.00011952,1460.74
0.00011951,64.22
0.00011930,100.0
0.00011906,167.82
0.00011811,100.0
0.00011806,229.76
0.00011653,208.15
0.00011602,1001.61
0.00011575,50.0
0.00011015,50.0
0.00010956,317.25
0.00010756,87.03
0.00010617,50.0
0.00010557,88.67
0.00010512,50.0
0.00010457,50.0
0.00010356,50.0
0.00010159,92.15
0.00009960,50.0
0.00009752,95.99
0.00009743,199.99
0.00009462,253.65
0.00009362,50.0
0.00009346,100.17
0.00009334,50.0
0.00009322,160.25
0.00008999,229.52
0.00008964,500.0
0.00006311,85.0
