price,amount
0.00025602,20.78
0.00025605,26.1
0.00025649,1.0
0.00025652,50.64
0.00025659,17.66
0.00025667,10.19
0.00025684,1.0
0.00025686,4.63
0.00025702,17.21
0.00025712,1.0
0.00025718,4.63
0.00025719,1.0
0.00025740,95.9
0.00025767,2.0
0.00025802,93.8
0.00025804,959.2
0.00025845,1.34
0.00025846,871.49
0.00025881,39.31
0.00025903,1.2
0.00026003,4.36
0.00026019,16.94
0.00026031,83.53
0.00026064,160.7
0.00026069,1.0
0.00026102,5.0
0.00026104,31.42
0.00026191,187.55
0.00026204,3.78
0.00026304,1.92
0.00026403,5.0
0.00026404,25.3
0.00026405,50.35
0.00026415,1.0
0.00026483,1.0
0.00026485,2.0
0.00026505,3.43
0.00026601,1.0
0.00026604,1.51
0.00026606,67.13
0.00026666,2.0
0.00026706,7.0
0.00026719,1.19
0.00026737,4.07
0.00026805,37.05
0.00026806,256.52
0.00026834,2.0
0.00026858,74.41
0.00026884,18.71
0.00026907,1.0
0.00026916,1.0
0.90000000,1.0
1.01000000,3.0
1.02000000,1.669
1.04000000,1.0
1.19000000,1.0
