price,amount
0.00025274,4.63
0.00025258,4.63
0.00025242,4.63
0.00025226,4.63
0.00025211,95.95
0.00025210,4.63
0.00025194,4.63
0.00025179,30.0
0.00025178,4.63
0.00025162,4.63
0.00025149,65.42
0.00025117,27.5
0.00025116,959.2
0.00025074,1.0
0.00025024,51.63
0.00024994,39.32
0.00024974,1.0
0.00024906,2.0
0.00024894,83.53
0.00024883,203.41
0.00024882,1.0
0.00024879,1.0
0.00024763,959.2
0.00024753,1.0
0.00024630,1.0
0.00024601,3.78
0.00024508,56.74
0.00024501,59.96
0.00024404,959.2
0.00024402,4.97
0.00024384,1.0
0.00024382,1.0
0.00024353,8.64
0.00024302,6.4
0.00024202,3.54
0.00024103,4.68
0.00024053,1.54
0.00024016,1.0
0.00024003,12.2
0.00023904,12.54
0.00023867,208.12
0.00023804,6.26
0.00023794,11.83
0.00023704,5.04
0.00023680,1.0
0.00023621,1.26
0.00023605,1.77
0.00023553,1.0
0.00023505,44.88
0.00023406,1.0
0.00010511,97.7675994870199
0.00010406,98.7551509969898
0.00006000,1.67
0.00000242,148.201
