price,amount
0.00000222,755779.0
0.00000231,1000.0
0.00000233,23000.0
0.00000238,476089.0
0.00000240,900875.0
0.00000242,13573.0
0.00000243,1986629.0
0.00000245,8013621.0
0.00000248,25918.0
0.00000249,3463095.0
0.00000250,206098.0
0.00000255,8481476.0
0.00000262,763358.0
0.00000264,681818.0
0.00000265,8000000.0
0.00000269,194107.0
0.00000270,1111111.0
0.00000273,1282051.0
0.00000277,2093862.0
0.00000280,40813.0
0.00000282,933562.0
0.00000285,11990.0
0.00000286,1204668.0
0.00000288,12000000.0
0.00000289,1399255.0
0.00000290,10056999.0
0.00000293,4049441.0
0.00000298,1904.0
0.00000299,5037874.0
0.00000300,40884438.0
0.00000318,45728.0
0.00000320,65005.0
0.00000330,635966.0
0.00000333,195286.0
0.00000347,31000.0
0.00000356,233029.0
0.00000357,280405.0
0.00000360,277627.0
0.00000370,27167.0
0.00000372,1000.0
0.00000380,7952.0
0.00000386,45727.0
0.00000411,62400.0
0.00000422,12311.0
0.00000430,75449.0
0.00000433,10000.0
0.00000459,185535.0
0.00000460,10000.0
0.00000478,94673.0
0.00000479,3219414.0
0.00000480,60000.0
0.00000499,201132.0
0.00000500,1252515.0
0.00000510,280000.0
0.00000580,50000.0
0.00000600,1159622.0
0.00000650,35046.0
0.00000700,17548558.0
0.00000780,25000.0
0.00000800,2039391.0
0.00000834,99767.0
0.00000900,102726.0
0.00000950,12500.0
0.00001000,411481.0
0.00001010,22222.0
0.00001030,22222.0
0.00001050,22222.0
0.00001055,22222.0
0.00001060,122222.0
0.00001080,22222.0
0.00001099,33333.0
0.00001100,222222.0
0.00001200,454220.0
0.00001300,59651.0
0.00001400,122222.0
0.00001500,222222.0
0.00002000,12467.0
0.00002010,78115.0
0.00002143,3000.0
0.00002600,907746.0
0.00003000,38011.0
0.00005000,28500.0
0.00006990,99767.0
0.00007000,63526.0
0.00009000,42839.0
0.00010000,331289.0
0.00011145,1000.0
0.00012000,200000.0
0.00013000,10000.0
0.00049000,10000.0
0.00050000,124000.0
0.00058300,10000.0
0.00064500,10000.0
0.00067500,12580.0
0.00070000,521540.0
0.00141000,6000.0
0.00500000,182140.0
0.03000000,20000.0
