price,amount
0.00000220,28646.0
0.00000219,1975.0
0.00000218,183486.0
0.00000216,1000.0
0.00000214,1000.0
0.00000209,120.0
0.00000207,2227.0
0.00000205,1000.0
0.00000203,52819.0
0.00000202,19051.0
0.00000201,28518.0
0.00000199,10000.0
0.00000198,29111.0
0.00000197,25565.0
0.00000193,5714.0
0.00000192,78532.0
0.00000191,14574.0
0.00000190,10200.0
0.00000178,78141.0
0.00000158,113736.0
0.00000152,16727.0
0.00000150,68161.0
0.00000138,29980.0
0.00000133,70651.0
0.00000129,53927.0
0.00000128,2501.0
0.00000120,24155.0
0.00000119,271174.0
0.00000118,58787.0
0.00000115,2176671.0
0.00000100,307420.0
0.00000090,3333333.0
0.00000066,20240.0
0.00000055,3638363.0
0.00000045,6666666.0
0.00000035,5714285.0
0.00000025,352000.0
0.00000015,13333333.0
0.00000010,20000000.0
0.00000001,1030171603.0
