price,amount
0.00000008,80000.0
0.00000009,50000.0
0.00000010,102055.0
0.00000011,50000.0
0.00000012,50000.0
0.00000013,100000.0
0.00000014,51999.0
0.00000015,51235.0
0.00000016,50140.0
0.00000017,50000.0
0.00000018,50000.0
0.00000019,50000.0
0.00000020,50000.0
0.00000038,12500.0
0.00000060,300.0
0.00000069,467971.0
0.00000070,113896.0
0.00000080,2000600.0
0.00000088,14851.0
0.00000100,2002110.0
0.00000110,347998.0
0.00000120,678954.0
0.00000130,214532.0
0.00000136,367421.0
0.00000138,2000000.0
0.00000140,100000.0
0.00000149,92641.0
0.00000150,4100484.0
0.00000151,354672.0
0.00000152,234219.0
0.00000153,453788.0
0.00000154,238976.0
0.00000155,100000.0
0.00000156,327980.0
0.00000157,458769.0
0.00000158,543287.0
0.00000159,342769.0
0.00000160,500000.0
0.00000165,2000000.0
0.00000166,406693.0
0.00000167,50000.0
0.00000168,1050000.0
0.00000169,50000.0
0.00000170,4500000.0
0.00000171,71685.0
0.00000172,127393.0
0.00000173,73415.0
0.00000174,62387.0
0.00000175,84278.0
0.00000176,4050000.0
0.00000177,50000.0
0.00000178,50000.0
0.00000179,418790.0
0.00000180,9900000.0
0.00000181,50000.0
0.00000182,50000.0
0.00000183,50000.0
0.00000184,50000.0
0.00000185,500000.0
0.00000186,50000.0
0.00000187,50000.0
0.00000189,1050000.0
0.00000190,508200.0
0.00000199,877531.0
0.00000200,4367032.0
0.00000201,110000.0
0.00000202,4860389.0
0.00000222,200.0
0.00000250,3134655.0
0.00000258,153860.0
0.00000300,2000000.0
0.00000341,200.0
0.00000350,5000.0
0.00000400,200.0
0.00000500,5000.0
0.00000950,5000.0
0.00001030,200.0
0.00001806,402.0
0.00002007,347.0
0.00009000,300.0
0.00014700,100.0
0.00015500,200.0
0.00100000,400.0
0.10000000,115.0
0.28000000,300.0
1.00000000,100.0
