price,amount
0.00000216,12225.0
0.00000243,20000.0
0.00000244,19225.0
0.00000251,116028.0
0.00000252,500250.0
0.00000254,69562.0
0.00000256,11377.0
0.00000258,96980.0
0.00000259,12219.0
0.00000265,10141.0
0.00000270,2000.0
0.00000275,16543.0
0.00000276,11377.0
0.00000289,20000.0
0.00000320,473.0
0.00000338,12221.0
0.00000380,9226.616022099448
0.00000499,100000.0
0.00000900,8324.0
0.00000981,3655.0
0.00001500,140000.0
0.00001600,200.0
0.00001900,200.0
0.00001913,16842.0
0.00001998,230.0
0.00001999,50000.0
0.00002000,200.0
0.00002199,50600.0
0.00002500,400.0
0.00002850,200.0
0.00002903,300.0
0.00003000,3001400.0
0.00004000,2000000.0
0.00004500,2880000.0
0.00004899,76859.0
0.00004900,600000.0
0.00004901,12436.0
0.00004902,34981.0
0.00004905,87125.0
0.00004908,65831.0
0.00004910,1000000.0
0.00004911,15476.0
0.00004912,81574.0
0.00004915,47444.0
0.00004918,37658.0
0.00004919,99998.0
0.00005000,4300000.0
0.00005100,276890.0
0.00005200,457329.0
0.00005300,653789.0
0.00005400,798246.0
0.00005450,2000.0
0.00005500,5671289.0
0.00005501,123213.0
0.00005502,453809.0
0.00005503,671234.0
0.00005510,542849.0
0.00005520,321409.0
0.00005530,321879.0
0.00005540,258790.0
0.00005550,1000.0
0.00005560,327890.0
0.00005570,218903.0
0.00005580,231679.0
0.00005590,432790.0
0.00005600,981210.0
0.00005601,1000.0
0.00005610,237809.0
0.00005620,216809.0
0.00005630,879209.0
0.00005640,129865.0
0.00005650,324567.0
0.00005670,324578.0
0.00005680,500000.0
0.00005690,327809.0
0.00005700,2000.0
0.00005701,324561.0
0.00005708,346572.0
0.00005717,324676.0
0.00005726,216785.0
0.00005730,2000.0
0.00005741,807800.0
0.00005745,3000.0
0.00005750,2000000.0
0.00005763,600000.0
0.00005770,389650.0
0.00005868,33333.0
0.00005869,60000.0
0.00005873,1000.0
0.00005876,87912.0
0.00005877,1522232.0
0.00005886,1076754.0
0.00005889,90000.0
0.00005890,597648.0
0.00005893,87777.0
0.00005895,54671.0
0.00005898,66666.0
0.00006000,1000000.0
0.00006500,10150010.0
0.00006810,6845.0
0.00006811,44444.0
0.00006819,87143.0
0.00006826,55477.0
0.00006827,97341.0
0.00006832,50000.0
0.00006854,39812.0
0.00006870,75641.0
0.00006880,100000.0
0.00006889,70000.0
0.00006990,601256.0
0.00007800,1000000.0
0.00007901,54678.0
0.00007905,78132.0
0.00007908,78406.0
0.00007916,22222.0
0.00007920,2000.0
0.00007935,9000.0
0.00007938,80000.0
0.00007950,60000.0
0.00007978,32444.0
0.00007980,586734.0
0.00007990,111615.0
0.00007996,2000.0
0.00008000,4529000.0
0.00008100,80000.0
0.00008200,40000.0
0.00008300,90000.0
0.00008990,50000.0
0.00009470,3000.0
0.00009490,23000.0
0.00009500,66666.0
0.00009600,40000.0
0.00009610,78111.0
0.00009612,11111.0
0.00009616,16000.0
0.00009619,23000.0
0.00009620,45800.0
0.00009670,657898.0
0.00010000,14749.0
0.00012930,200.0
0.00019680,200.0
0.00050000,30000.0
0.00231000,200.0
0.00500000,10000.0
0.00999999,200.0
0.35700000,201100.0
0.64000000,400.0
