price,amount
0.00000142,124746.0
0.00000141,262866.0
0.00000140,100000.0
0.00000117,149253.0
0.00000116,150539.0
0.00000100,28085.0
0.00000063,1275872.0
0.00000062,2279765.0
0.00000061,100000.0
0.00000048,100000.0
0.00000047,100000.0
0.00000046,100000.0
0.00000045,103219.0
0.00000044,100000.0
0.00000043,100000.0
0.00000042,100000.0
0.00000041,100000.0
0.00000040,100000.0
0.00000039,100000.0
0.00000038,100000.0
0.00000037,100000.0
0.00000036,100000.0
0.00000035,100000.0
0.00000034,336725.0
0.00000033,2402452.0
0.00000020,100000.0
0.00000019,100000.0
0.00000018,100000.0
0.00000017,100000.0
0.00000015,311547.0
0.00000010,472702.0
0.00000009,1193448.0
0.00000008,5618734.0
0.00000007,1458360.0
0.00000006,2000000.0
0.00000005,3947034.0
0.00000002,5299966.0
