price,amount
0.499630,145.5
0.500293,674.8
0.502281,504.8
0.503606,344.5
0.509570,656.4
0.513545,1312.8
0.529449,200.0
0.530112,100.0
0.536738,100.0
0.543364,200.0
0.549991,100.0
0.551316,226.0
0.553304,200.0
0.556617,113.6
0.559930,200.0
0.563244,273.2
0.569870,200.0
0.576496,200.0
0.584448,200.0
0.587099,100.0
0.600351,100.0
0.606315,100.0
0.621556,11576.8
0.624869,200.0
0.628182,100.0
0.629508,100.0
0.630833,200.0
0.642760,200.0
0.646074,100.0
0.649387,200.0
0.656676,200.0
0.659326,100.0
0.662640,200.0
0.663302,100.0
0.671254,100.0
0.679205,100.0
0.693121,100.0
0.695771,200.0
0.701492,2568.2
0.712337,100.0
0.714325,200.0
0.728904,100.0
0.736193,200.0
0.742156,100.0
0.745470,100.0
0.747457,100.0
0.761373,1762.1
0.762036,100.0
0.763361,200.0
0.770650,100.0
0.778601,200.0
0.865387,100.2
0.865389,100.3
0.865395,100.1
0.867901,100.2
0.868734,100.9
0.868740,100.8
0.870000,41161.5
0.870074,100.3
0.870080,100.6
0.871250,100.8
0.872597,100.2
0.880000,31834.8
0.890000,38374.6
0.894750,450.4
0.896755,100.1
0.900000,38701.9
0.910000,28399.2
0.920000,30674.1
0.930000,16170.6
0.940000,10468.5
0.950000,7486.7
0.960000,1822.1
0.970000,2199.6
0.980000,3592.9
0.990000,2792.5
1.000000,600.4
1.020000,4175.4
1.140000,55.4
1.270000,9589.7
1.280000,16131.4
1.290000,11180.0
1.300000,27569.5
1.310000,9189.0
1.320000,8983.6
1.330000,11913.4
1.340000,14035.5
1.350000,43912.5
1.360000,22625.6
1.370000,2860.2
1.380000,14832.6
1.390000,44.7
1.400000,15540.5
1.410000,13279.9
1.440000,602.8
1.450000,2844.8
2.130000,7.4
3.500000,1839.0
10.500000,8.5
12.000000,97.9
12.050000,389.6
12.200000,10.0
12.800000,92.2
14.280000,30.8
