price,amount
0.494334,855.4
0.493677,100.0
0.493019,100.0
0.492362,1120.7
0.491047,100.0
0.490390,100.0
0.489733,100.0
0.489075,200.0
0.488418,200.0
0.487761,100.0
0.487103,100.0
0.484474,1321.2
0.479872,100.0
0.473299,100.0
0.468697,100.0
0.466725,644.0
0.460152,438.5
0.453578,100.0
0.452263,1000.0
0.450291,100.0
0.447004,200.0
0.443718,100.0
0.440431,100.0
0.439116,200.0
0.437144,100.0
0.433857,100.0
0.430570,239.8
0.427284,181.3
0.423997,100.0
0.420710,100.0
0.417423,1242.8
0.416108,238.2
0.414136,200.0
0.410850,100.0
0.408220,100.0
0.407563,100.0
0.406248,100.0
0.404276,100.0
0.400989,100.0
0.397702,200.0
0.395073,200.0
0.394415,487.6
0.391129,100.0
0.387842,100.0
0.384555,100.0
0.381268,100.0
0.377982,100.0
0.374695,100.0
0.373380,100.0
0.371408,200.0
0.320000,1.0
0.000002,430378.1
