price,amount
0.00000079,19456.0
0.00000088,80000.0
0.00000090,66855.0
0.00000108,119710.0
0.00000110,45801.0
0.00000118,64845.0
0.00000119,60539.0
0.00000120,900.0
0.00000220,21938.0
0.00000221,20003.0
0.00000225,96020.0
0.00000227,200000.0
0.00000230,100000.0
0.00000275,9328.0
0.00000283,27984.0
0.00000284,100000.0
0.00000285,40000.0
0.00000288,100000.0
0.00000290,30219.0
0.00000291,30427.0
0.00000293,80291.0
0.00000294,20194.0
0.00000295,20198.0
0.00000296,52000.0
0.00000300,30.0
0.00000302,150000.0
0.00000303,50000.0
0.00000304,20194.0
0.00000309,100000.0
0.00000310,189118.0
0.00000312,29108.0
0.00000313,30119.0
0.00000314,30180.0
0.00000315,9988.0
0.00000320,58360.0
0.00000321,52264.7
0.00000322,10000.0
0.00000324,10000.0
0.00000325,20000.0
0.00000329,10000.0
0.00000331,10021.0
0.00000336,21098.0
0.00000337,2478.0
0.00000338,2553.0
0.00000339,2628.0
0.00000340,2703.0
0.00000341,2778.0
0.00000342,2853.0
0.00000344,78744.0
0.00000345,39180.0
0.00000346,3911.0
0.00000900,112.0
0.00001220,112.0
0.00007000,1222.0
0.00009900,132.0
0.00011720,224.0
