price,amount
0.00002486,29043.0
0.00002494,13329.0
0.00002500,517395.0
0.00003205,59020.0
0.00003225,94431.0
0.00003228,100000.0
0.00003229,100000.0
0.00003330,55120.0
0.00003811,200000.0
0.00003839,40000.0
0.00003985,29993.0
0.00004000,3594.0
0.00004002,9282.0
0.00004007,100000.0
0.00004118,3996.0
0.00004165,26.0
0.00004169,126.0
0.00004170,327.0
0.00004171,201.0
0.00004265,2199.0
0.00004300,7500.0
0.00004393,76.0
0.00004396,101.0
0.00004397,176.0
0.00004398,201.0
0.00004399,101.0
0.00004404,76.0
0.00004405,26.0
0.00004406,51.0
0.00004407,76.0
0.00004409,201.0
0.00004414,126.0
0.00004420,26.0
0.00004421,26.0
0.00004422,26.0
0.00004427,126.0
0.00004428,176.0
0.00004429,201.0
0.00004500,210000.0
0.00004510,100000.0
0.00004600,100000.0
0.00004700,200000.0
0.00004800,100000.0
0.00005000,10457.0
