price,amount
0.00009785,1.0
0.00009788,75.36
0.00009790,54.87
0.00009792,3.8
0.00009802,2.4
0.00009825,14.0
0.00009826,73.53
0.00009845,75.23
0.00009864,310.65
0.00009865,272.66
0.00009884,122.03
0.00009896,23.19
0.00010038,310.65
0.00010040,32.34
0.00010051,201.51
0.00010073,5.0
0.00010234,38.6
0.00010244,2.0
0.00010326,2.05
0.00010456,1.0
0.00010470,22.46
0.00010712,38.85
0.00010735,1.0
0.00010779,100.0
0.00010796,4.72
0.00010943,5.9
0.00011044,1.0
0.00011120,1.0
0.00011333,13.0
0.00011478,4.4
0.00011546,2.5
0.00011654,2.14
0.00011718,11.6
0.00011749,1.05
0.00011947,23.5
0.00012148,4.85
0.00012318,1.0
0.00012328,40.2
0.00012349,281.3
0.00012479,24.95
0.00012811,1.0
0.00012951,107.27
0.00013051,295.61
0.00013276,1.0
0.00013453,40.5
0.00013654,249.12
0.00013677,1.0
0.00013839,27.3
0.00013907,1.0
0.00014054,81.07
0.00014055,74.7
0.00014156,2.5
0.00014298,249.31
0.00014343,2.82
0.00014357,9.72
0.00014483,1.0
0.00014488,1.0
0.00014517,110.22
0.00014602,1.0
0.00014686,4.0
0.00014748,1.0
0.00014769,1.0
0.00014770,2.73
0.00014959,11.66
0.00015058,98.64
0.00015059,89.06
0.00015491,62.08
0.00015561,15.89
0.00015728,7.5
0.00015730,11.18
0.00015762,88.77
0.00015823,10.0
0.00015848,3.2
0.00015863,38.7
0.00015951,1.0
0.00015963,500.0
0.00016046,5.0
0.00016062,5.0
0.00016064,589.87
0.00016128,2.92
0.00016164,24.41
0.00016291,6.7
0.00016459,13.3866
0.00016644,1.0
0.00016666,34.92
0.00016726,9.97
0.00016732,11.96
0.00016766,22.97
0.00016867,145.3
0.00016958,109.45
0.00016967,1.0
0.00017055,2.0
0.00017102,1.0
0.00017111,1.05
0.00017119,2.0
0.00017187,23.0
0.00017469,2.5
0.00017569,50.0
0.00017648,1.0
0.00017770,50.86
0.00017871,50.0
0.00017959,1.0
0.00017971,50.0
0.00021818,48.4778
0.00028767,4.3997
