price,amount
0.00009664,11.63
0.00009659,7.36
0.00009651,2.4
0.00009646,204.5
0.00009644,44.2
0.00009643,43.92
0.00009632,26.03
0.00009626,87.85
0.00009614,31.25
0.00009613,50.88
0.00009597,310.65
0.00009596,10.0
0.00009594,3.8
0.00009593,49.48
0.00009572,10.0
0.00009555,137.13
0.00009489,1.0
0.00009473,621.3
0.00009442,40.2
0.00009388,19.23
0.00009363,1.0
0.00009362,80.0
0.00009190,343.14
0.00009063,83.82
0.00008964,22.67
0.00008650,2.9
0.00008538,5.75
0.00008535,1.18
0.00008521,11.5
0.00008454,18.95
0.00008399,3.25
0.00008281,19.54
0.00008278,12.9
0.00008267,17.0
0.00008053,5.0
0.00007968,49.76
0.00007876,5.0
0.00007776,10.0
0.00007564,20.0
0.00007487,5.0
0.00007388,5.0
0.00007387,170.0
0.00007288,10.0
0.00007285,20.0
0.00007270,1.0
0.00007250,4.4
0.00007094,40.64
0.00006993,1.4
0.00006971,2.6
0.00006757,7.0
0.00006694,2.05
0.00006473,1.0
0.00006075,2.5
0.00006035,1.0
0.00005997,1.65
0.00005229,40.0
0.00005156,85.0
0.00005001,2.0
0.00004988,1.0
0.00004980,1.0
0.00004850,1.0
0.00004197,1.25
0.00004190,2.4
0.00004189,1.25
0.00004186,1.2
0.00004185,1.25
0.00004184,1.2
0.00004183,2.4
0.00004096,1.25
0.00004095,2.5
0.00004091,1.25
0.00004086,1.25
0.00004084,1.25
0.00004083,22.5
0.00004037,2.5
0.00004033,2.5
0.00004005,2.5
0.00003984,25.0
0.00003734,301.8
0.00003576,8.4
0.00003485,5.0
0.00003238,2.5
0.00003139,2.5
0.00003087,1.0
0.00003037,18.62
0.00003009,7.0
0.00002988,1.0
0.00002788,5.0
0.00002490,10.0
0.00002184,13.3
0.00002013,5.0
0.00002006,1.0
0.00001992,1.0
0.00001681,1.0
0.00001330,22.29
0.00001195,2.33
0.00001017,10.0
0.00000996,10.0
0.00000814,1.31
0.00000646,100.0
0.00000308,8.06
