price,amount
0.00347030,1.0
0.00349834,338.4
0.00349835,39.37
0.00349836,400.15
0.00351499,112.65
0.00351500,9.55
0.00351980,23.39
0.00353265,1.0
0.00353814,16.76
0.00355360,1.35
0.00355361,73.07
0.00363229,1.0
0.00365550,25.53
0.00366034,17.12
0.00366158,24.56
0.00374739,1.0
0.00378843,21.03
0.00385077,25.0
0.00390555,4.98
0.00397625,1.0
0.00401600,288.39
0.00405765,1.0
0.00411640,90.35
0.00416657,17.91
0.00418121,4.0
0.00427101,1.45
0.00427536,20.0
0.00428708,1.0
0.00431720,2.5
0.00442763,19.54
0.00450695,1239.24
0.00451799,328.46
0.00452915,18.64
0.00453607,275.27
0.00454634,4.84
0.00456820,30.72
0.00458181,1.0
0.00461809,2.49
0.00461839,2.5
0.00471880,302.5
0.00481819,50.0
0.00481919,9.98
0.00482924,2.57
0.00486411,30.0
0.00491859,50.0
0.00491959,45.04
0.00496980,18.34
0.00497773,10.87
0.00498625,1.0
0.00500995,74.77
0.00501369,7.46
0.00502000,391.0
0.00504412,97.09
0.00505420,1.0
0.00512040,2.5
0.00532120,2.5
0.00535011,2.87
0.00542160,3.1
0.00552199,9.48
0.00575213,3.47
0.00578304,1.25
0.00589940,1.0
0.00592359,9.48
0.00602398,274.44
0.00680711,10.0
0.00752999,1.0
0.00803200,1.35
0.00925518,191.03
0.00943760,1.0
0.00996299,5.75
0.01004000,2.0
0.01405600,36.03
0.02811200,1.0
0.03714799,1.0
0.05020000,1.0
0.05314956,1.0
0.10040000,1.0
0.53149561,1.0
1.00400000,1.0
5.31495612,1.0
53.14956122,1.0
53.14956123,1.0
531.49563247,1.0
