price,amount
0.00343000,240.78
0.00342374,2.1
0.00342373,42.87
0.00342372,2.92
0.00342354,43.6
0.00341906,44.4
0.00341648,31.95
0.00341170,51.3
0.00341168,87.9
0.00341163,7.28
0.00341108,45.55
0.00341107,23.02
0.00338071,19.1
0.00338070,112.65
0.00337848,61.43
0.00335377,1.0
0.00334337,112.65
0.00332687,6.28
0.00320024,1.0
0.00315333,8.1
0.00314965,50.0
0.00308759,4.3
0.00306999,1.0
0.00302049,1.0
0.00298800,200.0
0.00288839,40.0
0.00278879,85.75
0.00275692,103.92
0.00274210,30.83
0.00270629,100.0
0.00270445,32.6
0.00268920,50.0
0.00257994,50.0
0.00257266,20.0
0.00256868,25.0
0.00249000,106.78
0.00246011,25.0
0.00239039,12.5
0.00229079,10.0
0.00216727,2.94
0.00210286,10.0
0.00209259,7.55
0.00209159,10.93
0.00186781,6.35
0.00173702,13.0
0.00172307,1.0
0.00169319,25.0
0.00167623,2.51
0.00149400,33.43
0.00134460,56.71
0.00125433,4.0
0.00121512,200.0
0.00112547,1.0
0.00108393,10.0
0.00099600,70.71
0.00072707,1.0
0.00065735,1.0
0.00058664,10.0
0.00039840,29.35
0.00038684,15.0
0.00036254,1.0
0.00031872,1.0
0.00018766,30.0
0.00018677,73.2
0.00012450,2.0
0.00011066,200.0
0.00008740,70.0
0.00004581,5.0
0.00003995,750.0
0.00003868,150.0
0.00002002,1000.0
0.00001992,5.0
0.00001876,300.0
0.00001867,366.05
0.00001106,90.18
0.00000886,25.0
0.00000498,50.0
0.00000458,50.0
0.00000278,2000.0
0.00000186,3660.75
0.00000159,1328.15
0.00000154,5000.0
0.00000129,5000.0
0.00000088,250.0
0.00000049,1000.0
0.00000045,500.0
0.00000025,20000.0
0.00000024,100.0
0.00000023,500.0
0.00000020,50000.0
0.00000012,50000.0
0.00000010,55500.0
0.00000007,2500.0
0.00000003,5000.0
0.00000001,55250.0
